dist,pos_x,pos_y,dist_long
新1,7,0,新北市第1選舉區
基,8,0,基隆市選舉區
新2,6,1,新北市第2選舉區
北1,7,1,台北市第1選舉區
新12,8,1,新北市第12選舉區
新4,5,2,新北市第4選舉區
新3,6,2,新北市第3選舉區
北2,7,2,台北市第2選舉區
北3,8,2,台北市第3選舉區
北4,9,2,台北市第4選舉區
桃1,4,3,桃園市第1選舉區
新5,5,3,新北市第5選舉區
新6,6,3,新北市第6選舉區
北5,7,3,台北市第5選舉區
北6,8,3,台北市第6選舉區
北7,9,3,台北市第7選舉區
不分區,11,3,不分區
不分區,12,3,不分區
不分區,13,3,不分區
不分區,14,3,不分區
不分區,15,3,不分區
不分區,16,3,不分區
連江,0,4,連江縣選舉區
桃2,4,4,桃園市第2選舉區
桃3,5,4,桃園市第3選舉區
新7,6,4,新北市第7選舉區
新8,7,4,新北市第8選舉區
北8,8,4,台北市第8選舉區
新11,9,4,新北市第11選舉區
不分區,11,4,不分區
不分區,12,4,不分區
不分區,13,4,不分區
不分區,14,4,不分區
不分區,15,4,不分區
不分區,16,4,不分區
竹市,3,5,新竹市選舉區
桃4,4,5,桃園市第4選舉區
桃5,5,5,桃園市第5選舉區
桃6,6,5,桃園市第6選舉區
新9,7,5,新北市第9選舉區
新10,8,5,新北市第10選舉區
宜,9,5,宜蘭縣選舉區
不分區,11,5,不分區
不分區,12,5,不分區
不分區,13,5,不分區
不分區,14,5,不分區
不分區,15,5,不分區
不分區,16,5,不分區
金,0,6,金門縣選舉區
苗1,3,6,苗栗縣第1選舉區
竹縣,4,6,新竹縣選舉區
中3,5,6,台中市第3選舉區
中5,6,6,台中市第5選舉區
中8,7,6,台中市第8選舉區
花,8,6,花蓮縣選舉區
不分區,11,6,不分區
不分區,12,6,不分區
不分區,13,6,不分區
不分區,14,6,不分區
不分區,15,6,不分區
不分區,16,6,不分區
中1,2,7,台中市第1選舉區
中2,3,7,台中市第2選舉區
苗2,4,7,苗栗縣第2選舉區
中4,5,7,台中市第4選舉區
中6,6,7,台中市第6選舉區
中7,7,7,台中市第7選舉區
東,8,7,台東縣選舉區
不分區,11,7,不分區
不分區,12,7,不分區
不分區,13,7,不分區
不分區,14,7,不分區
不分區,15,7,不分區
不分區,16,7,不分區
澎,0,8,澎湖縣選舉區
彰1,2,8,彰化縣第1選舉區
彰2,3,8,彰化縣第2選舉區
彰3,4,8,彰化縣第3選舉區
彰4,5,8,彰化縣第4選舉區
投1,6,8,南投縣第1選舉區
高2,7,8,高雄市第2選舉區
高1,8,8,高雄市第1選舉區
不分區,11,8,不分區
不分區,12,8,不分區
不分區,13,8,不分區
不分區,14,8,不分區
雲1,2,9,雲林縣第1選舉區
雲2,3,9,雲林縣第2選舉區
嘉市,4,9,嘉義市選舉區
嘉縣2,5,9,嘉義縣第2選舉區
投2,6,9,南投縣第2選舉區
高3,7,9,高雄市第3選舉區
嘉縣1,3,10,嘉義縣第1選舉區
南1,4,10,台南市第1選舉區
南2,5,10,台南市第2選舉區
高5,6,10,高雄市第5選舉區
高4,7,10,高雄市第4選舉區
南3,3,11,台南市第3選舉區
南4,4,11,台南市第4選舉區
南5,5,11,台南市第5選舉區
高6,6,11,高雄市第6選舉區
原,11,11,原
原,12,11,原
原,13,11,原
高9,4,12,高雄市第9選舉區
高8,5,12,高雄市第8選舉區
高7,6,12,高雄市第7選舉區
原,11,12,原
原,12,12,原
原,13,12,原
屏2,4,13,屏東縣第2選舉區
屏1,5,13,屏東縣第1選舉區
屏3,5,14,屏東縣第3選舉區